ROB hung up on 10-30-1992 at  2:59 pm
BANKMAN hung up on 11-19-1992 at  4:45 pm
NATAS hung up on 11-21-1992 at  4:54 pm
KILLERDWARF hung up on 11-28-1992 at  5:07 pm

